요일,기상상태,도로형태,노면상태,사고유형,구,사고시간
-0.01,-0.01,-0.02,-0.01,-0.13,-0.01,0.02
-0.01,0.0,-0.02,-0.01,-0.13,-0.02,0.02
-0.01,-0.01,-0.02,-0.01,-0.13,0.0,0.02
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,0.02
-0.01,-0.01,-0.02,-0.01,0.14,0.02,0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.02,0.01
-0.01,-0.01,0.05,-0.01,0.14,0.0,0.02
-0.01,0.0,-0.02,-0.01,0.14,-0.02,-0.0
-0.01,-0.01,-0.05,-0.01,0.14,-0.01,-0.0
-0.01,-0.01,0.02,-0.01,0.14,0.02,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,0.05,-0.01,0.14,0.02,-0.01
-0.01,-0.01,-0.0,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.01,-0.01,0.01,-0.01,-0.04,0.0,-0.01
-0.01,-0.01,-0.04,-0.01,-0.13,-0.01,-0.01
-0.01,-0.01,-0.05,-0.01,0.14,0.02,-0.0
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.01,-0.01,0.05,-0.01,0.14,-0.01,0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,0.02
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,0.02
-0.01,-0.01,-0.02,-0.01,-0.13,-0.02,-0.0
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.01,-0.01,-0.02,-0.01,-0.13,0.03,-0.01
-0.01,-0.01,-0.02,-0.01,-0.13,0.03,-0.01
-0.01,-0.01,0.05,-0.01,0.14,0.02,-0.01
-0.01,-0.01,0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,0.05,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.05,-0.01,0.14,0.02,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.02,-0.01
-0.01,-0.01,0.05,-0.01,0.14,-0.02,-0.01
-0.01,-0.01,-0.04,-0.01,-0.13,0.03,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,0.05,-0.01,0.14,-0.02,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.02,0.0
-0.01,-0.01,0.02,-0.01,0.14,0.0,0.0
-0.01,-0.01,-0.02,-0.01,0.14,0.0,0.0
-0.01,-0.01,0.02,-0.01,-0.13,-0.02,-0.01
-0.01,-0.01,0.05,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,0.02,-0.01,0.14,0.03,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,0.02,-0.01,0.14,-0.01,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.03,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.01,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.01,-0.01,0.05,-0.01,0.14,-0.02,0.01
-0.01,-0.01,0.02,-0.01,-0.04,-0.01,0.01
-0.02,-0.01,-0.02,-0.01,0.14,0.02,0.02
-0.02,-0.01,0.05,-0.01,0.14,-0.01,0.02
-0.02,-0.01,0.05,-0.01,0.14,-0.01,0.02
-0.02,-0.01,0.05,-0.01,0.14,-0.01,0.02
-0.02,-0.01,-0.05,-0.01,0.14,-0.02,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.0
-0.02,-0.01,-0.04,-0.01,-0.13,-0.02,-0.01
-0.02,-0.01,-0.05,-0.01,0.14,-0.01,-0.01
-0.02,-0.01,0.05,-0.01,0.14,-0.01,-0.01
-0.02,-0.01,0.02,-0.01,-0.13,0.02,-0.0
-0.02,-0.01,0.05,-0.01,0.14,0.02,-0.0
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.0
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,0.05,-0.01,-0.13,-0.02,-0.01
-0.02,-0.01,0.02,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,0.02,-0.01,0.14,0.0,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,0.0
-0.02,-0.01,0.05,-0.01,0.14,0.03,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,-0.05,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,0.02,-0.01
-0.02,-0.01,0.05,-0.01,0.14,0.02,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,0.02,-0.01
-0.02,-0.01,0.05,-0.01,0.14,0.0,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.0
-0.02,-0.01,0.05,-0.01,0.14,-0.02,0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.02,0.01
-0.02,-0.01,-0.02,-0.01,0.14,0.0,0.01
-0.02,-0.01,0.05,-0.01,0.14,-0.01,0.01
-0.02,-0.01,0.02,-0.01,0.14,-0.02,0.02
-0.02,-0.01,0.05,-0.01,0.14,0.0,0.02
-0.02,-0.01,0.02,-0.01,0.14,-0.01,0.01
-0.02,-0.01,0.02,-0.01,0.14,0.0,0.02
-0.02,-0.01,-0.04,-0.01,-0.13,-0.01,0.02
-0.02,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,-0.02,-0.0
-0.02,-0.01,-0.02,-0.01,-0.13,-0.02,-0.0
-0.02,-0.01,0.02,-0.01,0.14,-0.02,-0.0
-0.02,-0.01,0.05,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,0.02,-0.01,0.14,0.02,-0.01
-0.02,-0.01,0.05,-0.01,0.14,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,-0.04,0.02,-0.0
-0.02,-0.01,-0.02,-0.01,0.14,0.0,-0.0
-0.02,-0.01,-0.02,-0.01,-0.13,-0.02,-0.01
-0.02,-0.01,0.02,-0.01,0.14,0.02,-0.01
-0.02,-0.01,0.05,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,0.0
-0.02,-0.01,0.02,-0.01,0.14,0.02,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,0.02,-0.01
-0.02,-0.01,0.05,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,-0.02,-0.01
-0.02,0.0,0.02,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,-0.02,-0.01,-0.13,-0.01,-0.01
-0.02,-0.01,0.02,-0.01,-0.13,0.0,-0.01
-0.02,-0.01,0.02,-0.01,0.14,-0.02,-0.01
-0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.0
-0.02,-0.01,0.02,-0.01,-0.04,-0.01,-0.0
-0.02,-0.01,0.02,-0.01,0.14,-0.02,-0.0
-0.02,-0.01,-0.02,-0.01,-0.13,-0.02,0.01
0.02,-0.01,-0.02,-0.01,0.14,0.0,0.02
0.02,-0.01,0.02,-0.01,0.14,-0.02,0.02
0.02,-0.01,-0.02,-0.01,-0.13,-0.01,0.02
0.02,-0.01,-0.02,-0.01,0.14,0.0,0.02
0.02,-0.01,0.05,-0.01,0.14,0.0,0.01
0.02,0.0,0.05,-0.01,0.14,-0.02,0.01
0.02,-0.01,-0.05,-0.01,0.14,0.02,-0.0
0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
0.02,-0.01,0.05,-0.01,0.14,0.0,-0.01
0.02,-0.01,-0.02,-0.01,0.14,-0.01,-0.01
0.02,-0.01,0.05,-0.01,0.14,0.0,-0.0
0.02,-0.01,0.05,-0.01,0.14,-0.01,-0.0
0.02,-0.01,-0.02,-0.01,0.14,-0.02,-0.0
0.02,-0.01,-0.02,-0.01,0.14,0.0,-0.01
0.02,-0.01,-0.02,-0.01,-0.13,-0.02,-0.01
0.02,-0.01,-0.02,-0.01,0.14,0.0,-0.01
