ID,가격(백만원)
TEST_000,128.84111
TEST_001,80.38425
TEST_002,61.40465
TEST_003,35.39603
TEST_004,45.69341
TEST_005,99.13582
TEST_006,22.373583
TEST_007,39.06544
TEST_008,81.491714
TEST_009,24.554943
TEST_010,61.275684
TEST_011,62.684917
TEST_012,41.137352
TEST_013,97.787
TEST_014,91.06768
TEST_015,23.106102
TEST_016,124.09196
TEST_017,45.06199
TEST_018,60.14471
TEST_019,34.822937
TEST_020,37.82397
TEST_021,160.28603
TEST_022,48.05937
TEST_023,55.69051
TEST_024,23.221312
TEST_025,45.82334
TEST_026,78.48231
TEST_027,77.45803
TEST_028,28.697895
TEST_029,124.04359
TEST_030,61.36681
TEST_031,40.69121
TEST_032,114.625046
TEST_033,88.570724
TEST_034,34.138283
TEST_035,77.57918
TEST_036,21.828873
TEST_037,38.96949
TEST_038,24.573195
TEST_039,118.04234
TEST_040,126.77018
TEST_041,18.248878
TEST_042,117.882126
TEST_043,60.65436
TEST_044,23.303682
TEST_045,97.84341
TEST_046,21.778763
TEST_047,71.270004
TEST_048,60.744007
TEST_049,78.30498
TEST_050,34.597145
TEST_051,14.193565
TEST_052,38.023544
TEST_053,124.64096
TEST_054,23.92986
TEST_055,28.45465
TEST_056,156.12828
TEST_057,41.659573
TEST_058,157.70425
TEST_059,41.123997
TEST_060,55.75682
TEST_061,119.60618
TEST_062,39.322796
TEST_063,120.85369
TEST_064,39.64195
TEST_065,33.834522
TEST_066,72.10355
TEST_067,54.884613
TEST_068,100.250114
TEST_069,22.773941
TEST_070,47.97425
TEST_071,28.382956
TEST_072,64.006905
TEST_073,37.97738
TEST_074,124.53826
TEST_075,23.18666
TEST_076,41.56389
TEST_077,117.66127
TEST_078,160.19525
TEST_079,77.76054
TEST_080,27.76881
TEST_081,41.017582
TEST_082,17.941347
TEST_083,33.82035
TEST_084,33.128803
TEST_085,40.009254
TEST_086,56.350586
TEST_087,88.675995
TEST_088,61.624546
TEST_089,52.925655
TEST_090,40.69476
TEST_091,69.9052
TEST_092,17.830627
TEST_093,77.62813
TEST_094,21.956177
TEST_095,26.37621
TEST_096,65.34715
TEST_097,124.476776
TEST_098,65.71993
TEST_099,95.259544
TEST_100,118.98471
TEST_101,28.382956
TEST_102,72.697586
TEST_103,40.00057
TEST_104,23.942253
TEST_105,22.420639
TEST_106,97.7773
TEST_107,98.60456
TEST_108,24.037996
TEST_109,34.630928
TEST_110,45.082443
TEST_111,34.19983
TEST_112,26.613054
TEST_113,26.743038
TEST_114,33.115868
TEST_115,14.669283
TEST_116,61.33251
TEST_117,117.91118
TEST_118,155.01663
TEST_119,45.843018
TEST_120,63.914722
TEST_121,37.664055
TEST_122,160.43376
TEST_123,60.88704
TEST_124,14.116158
TEST_125,37.854248
TEST_126,71.97575
TEST_127,77.49948
TEST_128,27.63603
TEST_129,78.59497
TEST_130,68.97842
TEST_131,17.854431
TEST_132,23.542448
TEST_133,39.15832
TEST_134,21.573265
TEST_135,77.25094
TEST_136,57.18926
TEST_137,63.807842
TEST_138,72.273254
TEST_139,28.347961
TEST_140,28.035725
TEST_141,55.772804
TEST_142,24.627586
TEST_143,72.33654
TEST_144,22.30055
TEST_145,71.415
TEST_146,67.73855
TEST_147,28.267939
TEST_148,52.925655
TEST_149,65.57508
TEST_150,61.85815
TEST_151,128.65001
TEST_152,78.28509
TEST_153,37.869568
TEST_154,64.08013
TEST_155,151.40164
TEST_156,22.93595
TEST_157,65.41423
TEST_158,94.67852
TEST_159,78.98102
TEST_160,41.435978
TEST_161,60.75501
TEST_162,37.983284
TEST_163,54.776287
TEST_164,45.770676
TEST_165,72.14001
TEST_166,40.887466
TEST_167,124.08229
TEST_168,81.37499
TEST_169,151.51196
TEST_170,150.77458
TEST_171,95.0232
TEST_172,53.92908
TEST_173,37.371433
TEST_174,22.920382
TEST_175,22.867493
TEST_176,50.78355
TEST_177,47.854004
TEST_178,57.935364
TEST_179,24.142973
TEST_180,98.17326
TEST_181,157.4639
TEST_182,58.59656
TEST_183,22.14613
TEST_184,28.107697
TEST_185,38.791935
TEST_186,66.13315
TEST_187,37.664055
TEST_188,23.049212
TEST_189,28.325874
TEST_190,151.51225
TEST_191,23.36917
TEST_192,38.858116
TEST_193,97.47322
TEST_194,18.899776
TEST_195,79.41639
TEST_196,97.72471
TEST_197,45.599762
TEST_198,39.136166
TEST_199,22.45154
TEST_200,34.421078
TEST_201,97.0672
TEST_202,55.71372
TEST_203,66.09534
TEST_204,34.421078
TEST_205,22.522337
TEST_206,72.301186
TEST_207,58.04346
TEST_208,69.45719
TEST_209,34.22331
TEST_210,34.427963
TEST_211,155.01494
TEST_212,39.281162
TEST_213,97.539536
TEST_214,74.81737
TEST_215,22.10185
TEST_216,65.54045
TEST_217,77.571884
TEST_218,61.041443
TEST_219,47.611942
TEST_220,38.36617
TEST_221,47.962738
TEST_222,115.00856
TEST_223,160.20825
TEST_224,72.301186
TEST_225,37.790237
TEST_226,78.23768
TEST_227,66.13315
TEST_228,39.320713
TEST_229,69.74636
TEST_230,77.57099
TEST_231,80.263565
TEST_232,39.290966
TEST_233,155.99693
TEST_234,96.59052
TEST_235,34.794224
TEST_236,125.0473
TEST_237,52.985554
TEST_238,69.99734
TEST_239,80.602936
TEST_240,53.699787
TEST_241,98.94877
TEST_242,39.258244
TEST_243,57.28036
TEST_244,61.495876
TEST_245,77.69809
TEST_246,156.9853
TEST_247,120.85369
TEST_248,77.589584
TEST_249,33.31592
TEST_250,39.339645
TEST_251,34.32915
TEST_252,124.04359
TEST_253,39.39129
TEST_254,61.262295
TEST_255,159.50711
TEST_256,22.555386
TEST_257,63.90849
TEST_258,73.92079
TEST_259,79.505104
TEST_260,128.95436
TEST_261,27.324373
TEST_262,27.68262
TEST_263,17.391705
TEST_264,23.638975
TEST_265,34.758373
TEST_266,118.62805
TEST_267,37.75838
TEST_268,64.4667
TEST_269,71.75587
TEST_270,40.025303
TEST_271,124.55467
TEST_272,28.36198
TEST_273,28.441872
TEST_274,17.841827
TEST_275,41.149475
TEST_276,65.55462
TEST_277,52.6538
TEST_278,47.78719
TEST_279,39.209106
TEST_280,23.683584
TEST_281,90.59152
TEST_282,78.111145
TEST_283,34.75961
TEST_284,118.23511
TEST_285,19.175243
TEST_286,28.660406
TEST_287,118.09294
TEST_288,119.60618
TEST_289,48.03087
TEST_290,34.642567
TEST_291,98.0597
TEST_292,27.210426
TEST_293,73.91671
TEST_294,64.20193
TEST_295,97.35166
TEST_296,27.761547
TEST_297,28.45465
TEST_298,37.232212
TEST_299,60.715595
TEST_300,34.42497
TEST_301,57.378967
TEST_302,39.508564
TEST_303,18.979721
TEST_304,80.944115
TEST_305,47.504925
TEST_306,124.60893
TEST_307,74.35912
TEST_308,39.154747
TEST_309,73.52054
TEST_310,33.964897
TEST_311,52.701416
TEST_312,61.090797
TEST_313,78.06957
TEST_314,99.991104
TEST_315,23.254774
TEST_316,38.80933
TEST_317,23.033886
TEST_318,97.761856
TEST_319,36.81355
TEST_320,97.53346
TEST_321,71.24931
TEST_322,53.645603
TEST_323,73.56259
TEST_324,95.176674
TEST_325,120.8332
TEST_326,24.34356
TEST_327,69.99734
TEST_328,77.72447
TEST_329,23.995926
TEST_330,27.292515
TEST_331,157.40067
TEST_332,24.014011
TEST_333,38.121513
TEST_334,33.806217
TEST_335,97.70452
TEST_336,56.60567
TEST_337,47.330574
TEST_338,97.34088
TEST_339,61.608913
TEST_340,72.586
TEST_341,34.828632
TEST_342,22.51686
TEST_343,39.43602
TEST_344,117.90332
TEST_345,97.70903
TEST_346,118.277885
TEST_347,21.980778
TEST_348,124.04887
TEST_349,57.373444
TEST_350,69.13665
TEST_351,77.74381
TEST_352,38.754456
TEST_353,39.016434
TEST_354,71.99098
TEST_355,93.50174
TEST_356,41.065853
TEST_357,26.516565
TEST_358,47.39988
TEST_359,97.69421
TEST_360,21.679289
TEST_361,21.82964
TEST_362,22.31583
